"mes_dia","media_notificacoes_dia","data","real","predito","regiao","r2","mae","mape","msd","mse","rmse","ano_inicio","ano_fim","chave"
"4-26",84,"2020-04-29",377,265,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"4-27",79,"2020-04-30",379,263,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"4-28",76,"2020-05-01",401,317,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"4-29",76,"2020-05-02",391,287,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"4-30",77,"2020-05-03",384,317,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"5-1",79,"2020-05-04",380,272,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"5-2",76,"2020-05-05",375,313,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"5-3",78,"2020-05-06",377,325,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"5-4",81,"2020-05-07",370,269,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"5-5",84,"2020-05-08",338,339,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"5-6",87,"2020-05-09",332,319,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"5-7",88,"2020-05-10",351,350,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"5-8",85,"2020-05-11",339,336,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"5-9",85,"2020-05-12",336,317,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"5-10",88,"2020-05-13",343,296,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"5-11",86,"2020-05-14",348,319,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"5-12",87,"2020-05-15",363,337,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"5-13",86,"2020-05-16",358,345,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"5-14",87,"2020-05-17",337,322,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"5-15",88,"2020-05-18",340,306,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"5-16",90,"2020-05-19",334,312,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"5-17",87,"2020-05-20",339,333,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"5-18",86,"2020-05-21",326,312,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"5-19",87,"2020-05-22",306,359,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"5-20",92,"2020-05-23",305,302,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"5-21",92,"2020-05-24",298,288,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"5-22",91,"2020-05-25",299,315,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"5-23",89,"2020-05-26",298,299,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"5-24",89,"2020-05-27",277,314,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"5-25",92,"2020-05-28",278,279,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"5-26",94,"2020-05-29",278,276,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"5-27",89,"2020-05-30",282,314,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"5-28",89,"2020-05-31",285,294,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"5-29",91,"2020-06-01",315,347,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"5-30",92,"2020-06-02",318,327,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"5-31",92,"2020-06-03",320,324,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"6-1",95,"2020-06-04",324,411,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
